0	???	Unknown	0	0	0	0
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	18	131	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	18	132	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	18	133	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	18	134	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	18	136	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	18	137	255
7	17NetworksLHVisCentExStr7	17Networks_LH_VisCent_ExStr_7	120	18	138	255
8	17NetworksLHVisCentExStr8	17Networks_LH_VisCent_ExStr_8	120	18	139	255
9	17NetworksLHVisCentExStr9	17Networks_LH_VisCent_ExStr_9	120	18	140	255
10	17NetworksLHVisCentExStr10	17Networks_LH_VisCent_ExStr_10	120	18	141	255
11	17NetworksLHVisCentExStr11	17Networks_LH_VisCent_ExStr_11	120	18	142	255
12	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	1	1	255
13	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	2	255
14	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	3	255
15	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	4	255
16	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	5	255
17	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	6	255
18	17NetworksLHVisPeriExStrSup7	17Networks_LH_VisPeri_ExStrSup_7	255	1	7	255
19	17NetworksLHVisPeriExStrSup8	17Networks_LH_VisPeri_ExStrSup_8	255	2	0	255
20	17NetworksLHVisPeriExStrSup9	17Networks_LH_VisPeri_ExStrSup_9	255	2	1	255
21	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	130	174	255
22	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	130	175	255
23	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	130	176	255
24	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	130	177	255
25	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	130	178	255
26	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	130	179	255
27	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	130	181	255
28	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	130	182	255
29	17NetworksLHSomMotA9	17Networks_LH_SomMotA_9	70	130	183	255
30	17NetworksLHSomMotA10	17Networks_LH_SomMotA_10	70	130	184	255
31	17NetworksLHSomMotA11	17Networks_LH_SomMotA_11	70	130	185	255
32	17NetworksLHSomMotA12	17Networks_LH_SomMotA_12	70	130	186	255
33	17NetworksLHSomMotA13	17Networks_LH_SomMotA_13	70	130	187	255
34	17NetworksLHSomMotA14	17Networks_LH_SomMotA_14	70	131	180	255
35	17NetworksLHSomMotA15	17Networks_LH_SomMotA_15	70	131	181	255
36	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	204	160	255
37	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	204	161	255
38	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	204	162	255
39	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	204	163	255
40	17NetworksLHSomMotBAud5	17Networks_LH_SomMotB_Aud_5	43	204	165	255
41	17NetworksLHSomMotBAud6	17Networks_LH_SomMotB_Aud_6	43	204	166	255
42	17NetworksLHSomMotBAud7	17Networks_LH_SomMotB_Aud_7	43	204	167	255
43	17NetworksLHSomMotBAud8	17Networks_LH_SomMotB_Aud_8	43	204	168	255
44	17NetworksLHSomMotBAud9	17Networks_LH_SomMotB_Aud_9	43	204	169	255
45	17NetworksLHSomMotBAud10	17Networks_LH_SomMotB_Aud_10	43	204	170	255
46	17NetworksLHSomMotBAud11	17Networks_LH_SomMotB_Aud_11	43	204	171	255
47	17NetworksLHSomMotBAud12	17Networks_LH_SomMotB_Aud_12	43	205	164	255
48	17NetworksLHDorsAttnATempOcc1	17Networks_LH_DorsAttnA_TempOcc_1	74	155	61	255
49	17NetworksLHDorsAttnATempOcc2	17Networks_LH_DorsAttnA_TempOcc_2	74	155	62	255
50	17NetworksLHDorsAttnATempOcc3	17Networks_LH_DorsAttnA_TempOcc_3	74	155	63	255
51	17NetworksLHDorsAttnAParOcc1	17Networks_LH_DorsAttnA_ParOcc_1	74	155	64	255
52	17NetworksLHDorsAttnASPL1	17Networks_LH_DorsAttnA_SPL_1	74	156	61	255
53	17NetworksLHDorsAttnASPL2	17Networks_LH_DorsAttnA_SPL_2	74	156	62	255
54	17NetworksLHDorsAttnASPL3	17Networks_LH_DorsAttnA_SPL_3	74	156	63	255
55	17NetworksLHDorsAttnASPL4	17Networks_LH_DorsAttnA_SPL_4	74	156	64	255
56	17NetworksLHDorsAttnBTempOcc1	17Networks_LH_DorsAttnB_TempOcc_1	0	118	15	255
57	17NetworksLHDorsAttnBPostC1	17Networks_LH_DorsAttnB_PostC_1	0	118	14	255
58	17NetworksLHDorsAttnBPostC2	17Networks_LH_DorsAttnB_PostC_2	0	118	16	255
59	17NetworksLHDorsAttnBPostC3	17Networks_LH_DorsAttnB_PostC_3	0	118	17	255
60	17NetworksLHDorsAttnBPostC4	17Networks_LH_DorsAttnB_PostC_4	0	118	18	255
61	17NetworksLHDorsAttnBPostC5	17Networks_LH_DorsAttnB_PostC_5	0	118	19	255
62	17NetworksLHDorsAttnBFEF1	17Networks_LH_DorsAttnB_FEF_1	0	119	15	255
63	17NetworksLHDorsAttnBFEF2	17Networks_LH_DorsAttnB_FEF_2	0	119	16	255
64	17NetworksLHSalVentAttnAParOper1	17Networks_LH_SalVentAttnA_ParOper_1	196	58	251	255
65	17NetworksLHSalVentAttnAParOper2	17Networks_LH_SalVentAttnA_ParOper_2	196	58	252	255
66	17NetworksLHSalVentAttnAIns1	17Networks_LH_SalVentAttnA_Ins_1	196	59	251	255
67	17NetworksLHSalVentAttnAIns2	17Networks_LH_SalVentAttnA_Ins_2	196	59	252	255
68	17NetworksLHSalVentAttnAIns3	17Networks_LH_SalVentAttnA_Ins_3	196	59	253	255
69	17NetworksLHSalVentAttnAIns4	17Networks_LH_SalVentAttnA_Ins_4	196	59	254	255
70	17NetworksLHSalVentAttnAParMed1	17Networks_LH_SalVentAttnA_ParMed_1	196	59	255	255
71	17NetworksLHSalVentAttnAParMed2	17Networks_LH_SalVentAttnA_ParMed_2	193	52	250	255
72	17NetworksLHSalVentAttnAFrMed1	17Networks_LH_SalVentAttnA_FrMed_1	197	58	251	255
73	17NetworksLHSalVentAttnAFrMed2	17Networks_LH_SalVentAttnA_FrMed_2	197	58	252	255
74	17NetworksLHSalVentAttnBIPL1	17Networks_LH_SalVentAttnB_IPL_1	255	152	214	255
75	17NetworksLHSalVentAttnBPFCl1	17Networks_LH_SalVentAttnB_PFCl_1	255	153	214	255
76	17NetworksLHSalVentAttnBPFCl2	17Networks_LH_SalVentAttnB_PFCl_2	255	153	215	255
77	17NetworksLHSalVentAttnBPFCv1	17Networks_LH_SalVentAttnB_PFCv_1	255	153	216	255
