0	???	Unknown	0	0	0	0
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	17	128	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	17	129	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	17	130	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	17	131	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	17	132	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	17	133	255
7	17NetworksLHVisCentExStr7	17Networks_LH_VisCent_ExStr_7	120	17	134	255
8	17NetworksLHVisCentExStr8	17Networks_LH_VisCent_ExStr_8	120	17	135	255
9	17NetworksLHVisCentExStr9	17Networks_LH_VisCent_ExStr_9	120	18	128	255
10	17NetworksLHVisCentExStr10	17Networks_LH_VisCent_ExStr_10	120	18	129	255
11	17NetworksLHVisCentExStr11	17Networks_LH_VisCent_ExStr_11	120	18	130	255
12	17NetworksLHVisCentExStr12	17Networks_LH_VisCent_ExStr_12	120	18	131	255
13	17NetworksLHVisCentExStr13	17Networks_LH_VisCent_ExStr_13	120	18	132	255
14	17NetworksLHVisCentExStr14	17Networks_LH_VisCent_ExStr_14	120	18	133	255
15	17NetworksLHVisCentExStr15	17Networks_LH_VisCent_ExStr_15	120	18	134	255
16	17NetworksLHVisCentExStr16	17Networks_LH_VisCent_ExStr_16	120	18	136	255
17	17NetworksLHVisCentExStr17	17Networks_LH_VisCent_ExStr_17	120	18	137	255
18	17NetworksLHVisCentExStr18	17Networks_LH_VisCent_ExStr_18	120	18	138	255
19	17NetworksLHVisCentExStr19	17Networks_LH_VisCent_ExStr_19	120	18	139	255
20	17NetworksLHVisCentExStr20	17Networks_LH_VisCent_ExStr_20	120	18	140	255
21	17NetworksLHVisCentExStr21	17Networks_LH_VisCent_ExStr_21	120	18	141	255
22	17NetworksLHVisCentExStr22	17Networks_LH_VisCent_ExStr_22	120	18	142	255
23	17NetworksLHVisCentExStr23	17Networks_LH_VisCent_ExStr_23	120	19	135	255
24	17NetworksLHVisCentExStr24	17Networks_LH_VisCent_ExStr_24	120	19	136	255
25	17NetworksLHVisCentExStr25	17Networks_LH_VisCent_ExStr_25	120	19	137	255
26	17NetworksLHVisCentExStr26	17Networks_LH_VisCent_ExStr_26	120	19	138	255
27	17NetworksLHVisCentExStr27	17Networks_LH_VisCent_ExStr_27	120	19	139	255
28	17NetworksLHVisCentExStr28	17Networks_LH_VisCent_ExStr_28	120	19	140	255
29	17NetworksLHVisCentExStr29	17Networks_LH_VisCent_ExStr_29	120	19	141	255
30	17NetworksLHVisCentExStr30	17Networks_LH_VisCent_ExStr_30	120	19	142	255
31	17NetworksLHVisCentExStr31	17Networks_LH_VisCent_ExStr_31	120	20	135	255
32	17NetworksLHVisCentExStr32	17Networks_LH_VisCent_ExStr_32	120	20	136	255
33	17NetworksLHVisCentExStr33	17Networks_LH_VisCent_ExStr_33	120	20	137	255
34	17NetworksLHVisCentExStr34	17Networks_LH_VisCent_ExStr_34	120	20	138	255
35	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	0	0	255
36	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	1	255
37	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	2	255
38	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	3	255
39	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	4	255
40	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	5	255
41	17NetworksLHVisPeriExStrSup7	17Networks_LH_VisPeri_ExStrSup_7	255	1	6	255
42	17NetworksLHVisPeriExStrSup8	17Networks_LH_VisPeri_ExStrSup_8	255	1	7	255
43	17NetworksLHVisPeriExStrSup9	17Networks_LH_VisPeri_ExStrSup_9	255	2	0	255
44	17NetworksLHVisPeriExStrSup10	17Networks_LH_VisPeri_ExStrSup_10	255	2	1	255
45	17NetworksLHVisPeriExStrSup11	17Networks_LH_VisPeri_ExStrSup_11	255	2	2	255
46	17NetworksLHVisPeriExStrSup12	17Networks_LH_VisPeri_ExStrSup_12	255	2	3	255
47	17NetworksLHVisPeriExStrSup13	17Networks_LH_VisPeri_ExStrSup_13	255	2	4	255
48	17NetworksLHVisPeriExStrSup14	17Networks_LH_VisPeri_ExStrSup_14	255	2	5	255
49	17NetworksLHVisPeriExStrSup15	17Networks_LH_VisPeri_ExStrSup_15	255	2	6	255
50	17NetworksLHVisPeriExStrSup16	17Networks_LH_VisPeri_ExStrSup_16	255	2	7	255
51	17NetworksLHVisPeriExStrSup17	17Networks_LH_VisPeri_ExStrSup_17	255	3	0	255
52	17NetworksLHVisPeriExStrSup18	17Networks_LH_VisPeri_ExStrSup_18	255	3	1	255
53	17NetworksLHVisPeriExStrSup19	17Networks_LH_VisPeri_ExStrSup_19	255	3	2	255
54	17NetworksLHVisPeriExStrSup20	17Networks_LH_VisPeri_ExStrSup_20	255	3	3	255
55	17NetworksLHVisPeriExStrSup21	17Networks_LH_VisPeri_ExStrSup_21	255	3	4	255
56	17NetworksLHVisPeriExStrSup22	17Networks_LH_VisPeri_ExStrSup_22	255	3	5	255
57	17NetworksLHVisPeriExStrSup23	17Networks_LH_VisPeri_ExStrSup_23	255	3	6	255
58	17NetworksLHVisPeriExStrSup24	17Networks_LH_VisPeri_ExStrSup_24	255	3	7	255
59	17NetworksLHVisPeriExStrSup25	17Networks_LH_VisPeri_ExStrSup_25	255	4	0	255
60	17NetworksLHVisPeriExStrSup26	17Networks_LH_VisPeri_ExStrSup_26	255	4	1	255
61	17NetworksLHVisPeriExStrSup27	17Networks_LH_VisPeri_ExStrSup_27	255	4	2	255
62	17NetworksLHVisPeriExStrSup28	17Networks_LH_VisPeri_ExStrSup_28	255	4	3	255
63	17NetworksLHVisPeriExStrSup29	17Networks_LH_VisPeri_ExStrSup_29	255	4	4	255
64	17NetworksLHVisPeriExStrSup30	17Networks_LH_VisPeri_ExStrSup_30	255	4	5	255
65	17NetworksLHVisPeriExStrSup31	17Networks_LH_VisPeri_ExStrSup_31	255	4	6	255
66	17NetworksLHVisPeriExStrSup32	17Networks_LH_VisPeri_ExStrSup_32	255	4	7	255
67	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	128	177	255
68	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	128	178	255
69	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	128	179	255
70	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	128	180	255
71	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	129	173	255
72	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	129	174	255
73	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	129	175	255
74	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	129	176	255
75	17NetworksLHSomMotA9	17Networks_LH_SomMotA_9	70	129	177	255
76	17NetworksLHSomMotA10	17Networks_LH_SomMotA_10	70	129	178	255
77	17NetworksLHSomMotA11	17Networks_LH_SomMotA_11	70	129	179	255
78	17NetworksLHSomMotA12	17Networks_LH_SomMotA_12	70	129	180	255
79	17NetworksLHSomMotA13	17Networks_LH_SomMotA_13	70	130	173	255
