index	???	Unknow	r	g	b	a
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	17	134	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	17	135	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	18	128	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	18	129	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	18	130	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	18	131	255
7	17NetworksLHVisCentExStr7	17Networks_LH_VisCent_ExStr_7	120	18	132	255
8	17NetworksLHVisCentExStr8	17Networks_LH_VisCent_ExStr_8	120	18	133	255
9	17NetworksLHVisCentExStr9	17Networks_LH_VisCent_ExStr_9	120	18	134	255
10	17NetworksLHVisCentExStr10	17Networks_LH_VisCent_ExStr_10	120	18	136	255
11	17NetworksLHVisCentExStr11	17Networks_LH_VisCent_ExStr_11	120	18	137	255
12	17NetworksLHVisCentExStr12	17Networks_LH_VisCent_ExStr_12	120	18	138	255
13	17NetworksLHVisCentExStr13	17Networks_LH_VisCent_ExStr_13	120	18	139	255
14	17NetworksLHVisCentExStr14	17Networks_LH_VisCent_ExStr_14	120	18	140	255
15	17NetworksLHVisCentExStr15	17Networks_LH_VisCent_ExStr_15	120	18	141	255
16	17NetworksLHVisCentExStr16	17Networks_LH_VisCent_ExStr_16	120	18	142	255
17	17NetworksLHVisCentExStr17	17Networks_LH_VisCent_ExStr_17	120	19	135	255
18	17NetworksLHVisCentExStr18	17Networks_LH_VisCent_ExStr_18	120	19	136	255
19	17NetworksLHVisCentExStr19	17Networks_LH_VisCent_ExStr_19	120	19	137	255
20	17NetworksLHVisCentExStr20	17Networks_LH_VisCent_ExStr_20	120	19	138	255
21	17NetworksLHVisCentExStr21	17Networks_LH_VisCent_ExStr_21	120	19	139	255
22	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	1	1	255
23	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	2	255
24	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	3	255
25	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	4	255
26	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	5	255
27	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	6	255
28	17NetworksLHVisPeriExStrSup7	17Networks_LH_VisPeri_ExStrSup_7	255	1	7	255
29	17NetworksLHVisPeriExStrSup8	17Networks_LH_VisPeri_ExStrSup_8	255	2	0	255
30	17NetworksLHVisPeriExStrSup9	17Networks_LH_VisPeri_ExStrSup_9	255	2	1	255
31	17NetworksLHVisPeriExStrSup10	17Networks_LH_VisPeri_ExStrSup_10	255	2	2	255
32	17NetworksLHVisPeriExStrSup11	17Networks_LH_VisPeri_ExStrSup_11	255	2	3	255
33	17NetworksLHVisPeriExStrSup12	17Networks_LH_VisPeri_ExStrSup_12	255	2	4	255
34	17NetworksLHVisPeriExStrSup13	17Networks_LH_VisPeri_ExStrSup_13	255	2	5	255
35	17NetworksLHVisPeriExStrSup14	17Networks_LH_VisPeri_ExStrSup_14	255	2	6	255
36	17NetworksLHVisPeriExStrSup15	17Networks_LH_VisPeri_ExStrSup_15	255	2	7	255
37	17NetworksLHVisPeriExStrSup16	17Networks_LH_VisPeri_ExStrSup_16	255	3	0	255
38	17NetworksLHVisPeriExStrSup17	17Networks_LH_VisPeri_ExStrSup_17	255	3	1	255
39	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	129	175	255
40	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	129	176	255
41	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	129	177	255
42	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	129	178	255
43	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	129	179	255
44	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	129	180	255
45	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	130	173	255
46	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	130	174	255
47	17NetworksLHSomMotA9	17Networks_LH_SomMotA_9	70	130	175	255
48	17NetworksLHSomMotA10	17Networks_LH_SomMotA_10	70	130	176	255
49	17NetworksLHSomMotA11	17Networks_LH_SomMotA_11	70	130	177	255
50	17NetworksLHSomMotA12	17Networks_LH_SomMotA_12	70	130	178	255
51	17NetworksLHSomMotA13	17Networks_LH_SomMotA_13	70	130	179	255
52	17NetworksLHSomMotA14	17Networks_LH_SomMotA_14	70	130	181	255
53	17NetworksLHSomMotA15	17Networks_LH_SomMotA_15	70	130	182	255
54	17NetworksLHSomMotA16	17Networks_LH_SomMotA_16	70	130	183	255
55	17NetworksLHSomMotA17	17Networks_LH_SomMotA_17	70	130	184	255
56	17NetworksLHSomMotA18	17Networks_LH_SomMotA_18	70	130	185	255
57	17NetworksLHSomMotA19	17Networks_LH_SomMotA_19	70	130	186	255
58	17NetworksLHSomMotA20	17Networks_LH_SomMotA_20	70	130	187	255
59	17NetworksLHSomMotA21	17Networks_LH_SomMotA_21	70	131	180	255
60	17NetworksLHSomMotA22	17Networks_LH_SomMotA_22	70	131	181	255
61	17NetworksLHSomMotA23	17Networks_LH_SomMotA_23	70	131	182	255
62	17NetworksLHSomMotA24	17Networks_LH_SomMotA_24	70	131	183	255
63	17NetworksLHSomMotA25	17Networks_LH_SomMotA_25	70	131	184	255
64	17NetworksLHSomMotA26	17Networks_LH_SomMotA_26	70	131	185	255
65	17NetworksLHSomMotA27	17Networks_LH_SomMotA_27	70	131	186	255
66	17NetworksLHSomMotA28	17Networks_LH_SomMotA_28	70	131	187	255
67	17NetworksLHSomMotA29	17Networks_LH_SomMotA_29	70	132	180	255
68	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	203	162	255
69	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	203	163	255
70	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	203	164	255
71	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	204	157	255
72	17NetworksLHSomMotBAud5	17Networks_LH_SomMotB_Aud_5	43	204	158	255
73	17NetworksLHSomMotBAud6	17Networks_LH_SomMotB_Aud_6	43	204	159	255
74	17NetworksLHSomMotBAud7	17Networks_LH_SomMotB_Aud_7	43	204	160	255
75	17NetworksLHSomMotBAud8	17Networks_LH_SomMotB_Aud_8	43	204	161	255
76	17NetworksLHSomMotBAud9	17Networks_LH_SomMotB_Aud_9	43	204	162	255
77	17NetworksLHSomMotBAud10	17Networks_LH_SomMotB_Aud_10	43	204	163	255
78	17NetworksLHSomMotBAud11	17Networks_LH_SomMotB_Aud_11	43	204	165	255
79	17NetworksLHSomMotBAud12	17Networks_LH_SomMotB_Aud_12	43	204	166	255
80	17NetworksLHSomMotBAud13	17Networks_LH_SomMotB_Aud_13	43	204	167	255
81	17NetworksLHSomMotBAud14	17Networks_LH_SomMotB_Aud_14	43	204	168	255
82	17NetworksLHSomMotBAud15	17Networks_LH_SomMotB_Aud_15	43	204	169	255
83	17NetworksLHSomMotBAud16	17Networks_LH_SomMotB_Aud_16	43	204	170	255
84	17NetworksLHSomMotBAud17	17Networks_LH_SomMotB_Aud_17	43	204	171	255
85	17NetworksLHSomMotBAud18	17Networks_LH_SomMotB_Aud_18	43	205	164	255
86	17NetworksLHSomMotBAud19	17Networks_LH_SomMotB_Aud_19	43	205	165	255
87	17NetworksLHSomMotBAud20	17Networks_LH_SomMotB_Aud_20	43	205	166	255
88	17NetworksLHSomMotBAud21	17Networks_LH_SomMotB_Aud_21	43	205	167	255
89	17NetworksLHSomMotBAud22	17Networks_LH_SomMotB_Aud_22	43	205	168	255
90	17NetworksLHSomMotBAud23	17Networks_LH_SomMotB_Aud_23	43	205	169	255
91	17NetworksLHSomMotBAud24	17Networks_LH_SomMotB_Aud_24	43	205	170	255
92	17NetworksLHDorsAttnATempOcc1	17Networks_LH_DorsAttnA_TempOcc_1	74	155	58	255
93	17NetworksLHDorsAttnATempOcc2	17Networks_LH_DorsAttnA_TempOcc_2	74	155	59	255
94	17NetworksLHDorsAttnATempOcc3	17Networks_LH_DorsAttnA_TempOcc_3	74	155	61	255
95	17NetworksLHDorsAttnATempOcc4	17Networks_LH_DorsAttnA_TempOcc_4	74	155	62	255
96	17NetworksLHDorsAttnATempOcc5	17Networks_LH_DorsAttnA_TempOcc_5	74	155	63	255
97	17NetworksLHDorsAttnATempOcc6	17Networks_LH_DorsAttnA_TempOcc_6	74	155	64	255
98	17NetworksLHDorsAttnATempOcc7	17Networks_LH_DorsAttnA_TempOcc_7	74	155	65	255
99	17NetworksLHDorsAttnATempOcc8	17Networks_LH_DorsAttnA_TempOcc_8	74	155	66	255
100	17NetworksLHDorsAttnASPL1	17Networks_LH_DorsAttnA_SPL_1	74	156	56	255
101	17NetworksLHDorsAttnASPL2	17Networks_LH_DorsAttnA_SPL_2	74	156	57	255
102	17NetworksLHDorsAttnASPL3	17Networks_LH_DorsAttnA_SPL_3	74	156	58	255
103	17NetworksLHDorsAttnASPL4	17Networks_LH_DorsAttnA_SPL_4	74	156	59	255
104	17NetworksLHDorsAttnASPL5	17Networks_LH_DorsAttnA_SPL_5	74	156	61	255
105	17NetworksLHDorsAttnASPL6	17Networks_LH_DorsAttnA_SPL_6	74	156	62	255
106	17NetworksLHDorsAttnASPL7	17Networks_LH_DorsAttnA_SPL_7	74	156	63	255
107	17NetworksLHDorsAttnASPL8	17Networks_LH_DorsAttnA_SPL_8	74	156	64	255
108	17NetworksLHDorsAttnASPL9	17Networks_LH_DorsAttnA_SPL_9	74	156	65	255
109	17NetworksLHDorsAttnASPL10	17Networks_LH_DorsAttnA_SPL_10	74	156	66	255
110	17NetworksLHDorsAttnASPL11	17Networks_LH_DorsAttnA_SPL_11	74	156	67	255
111	17NetworksLHDorsAttnASPL12	17Networks_LH_DorsAttnA_SPL_12	74	157	60	255
112	17NetworksLHDorsAttnBPostC1	17Networks_LH_DorsAttnB_PostC_1	0	118	12	255
113	17NetworksLHDorsAttnBPostC2	17Networks_LH_DorsAttnB_PostC_2	0	118	13	255
114	17NetworksLHDorsAttnBPostC3	17Networks_LH_DorsAttnB_PostC_3	0	118	14	255
115	17NetworksLHDorsAttnBPostC4	17Networks_LH_DorsAttnB_PostC_4	0	118	16	255
116	17NetworksLHDorsAttnBPostC5	17Networks_LH_DorsAttnB_PostC_5	0	118	17	255
117	17NetworksLHDorsAttnBPostC6	17Networks_LH_DorsAttnB_PostC_6	0	118	18	255
118	17NetworksLHDorsAttnBPostC7	17Networks_LH_DorsAttnB_PostC_7	0	118	19	255
119	17NetworksLHDorsAttnBPostC8	17Networks_LH_DorsAttnB_PostC_8	0	118	20	255
120	17NetworksLHDorsAttnBPostC9	17Networks_LH_DorsAttnB_PostC_9	0	118	21	255
121	17NetworksLHDorsAttnBPostC10	17Networks_LH_DorsAttnB_PostC_10	0	118	22	255
122	17NetworksLHDorsAttnBFEF1	17Networks_LH_DorsAttnB_FEF_1	0	119	15	255
123	17NetworksLHDorsAttnBFEF2	17Networks_LH_DorsAttnB_FEF_2	0	119	16	255
124	17NetworksLHDorsAttnBFEF3	17Networks_LH_DorsAttnB_FEF_3	0	119	17	255
125	17NetworksLHDorsAttnBFEF4	17Networks_LH_DorsAttnB_FEF_4	0	119	18	255
126	17NetworksLHDorsAttnBPrCv1	17Networks_LH_DorsAttnB_PrCv_1	0	119	19	255
127	17NetworksLHSalVentAttnAParOper1	17Networks_LH_SalVentAttnA_ParOper_1	196	58	249	255
128	17NetworksLHSalVentAttnAParOper2	17Networks_LH_SalVentAttnA_ParOper_2	196	58	251	255
129	17NetworksLHSalVentAttnAParOper3	17Networks_LH_SalVentAttnA_ParOper_3	196	58	252	255
130	17NetworksLHSalVentAttnAParOper4	17Networks_LH_SalVentAttnA_ParOper_4	196	58	253	255
131	17NetworksLHSalVentAttnAParOper5	17Networks_LH_SalVentAttnA_ParOper_5	196	58	254	255
132	17NetworksLHSalVentAttnAIns1	17Networks_LH_SalVentAttnA_Ins_1	196	59	247	255
133	17NetworksLHSalVentAttnAIns2	17Networks_LH_SalVentAttnA_Ins_2	196	59	248	255
134	17NetworksLHSalVentAttnAIns3	17Networks_LH_SalVentAttnA_Ins_3	196	59	249	255
135	17NetworksLHSalVentAttnAIns4	17Networks_LH_SalVentAttnA_Ins_4	196	59	251	255
136	17NetworksLHSalVentAttnAIns5	17Networks_LH_SalVentAttnA_Ins_5	196	59	252	255
137	17NetworksLHSalVentAttnAIns6	17Networks_LH_SalVentAttnA_Ins_6	196	59	253	255
138	17NetworksLHSalVentAttnAIns7	17Networks_LH_SalVentAttnA_Ins_7	196	59	254	255
139	17NetworksLHSalVentAttnAIns8	17Networks_LH_SalVentAttnA_Ins_8	196	59	255	255
140	17NetworksLHSalVentAttnAIns9	17Networks_LH_SalVentAttnA_Ins_9	193	52	250	255
141	17NetworksLHSalVentAttnAIns10	17Networks_LH_SalVentAttnA_Ins_10	193	53	243	255
142	17NetworksLHSalVentAttnAParMed1	17Networks_LH_SalVentAttnA_ParMed_1	196	59	250	255
143	17NetworksLHSalVentAttnAParMed2	17Networks_LH_SalVentAttnA_ParMed_2	193	52	249	255
144	17NetworksLHSalVentAttnAParMed3	17Networks_LH_SalVentAttnA_ParMed_3	193	52	251	255
145	17NetworksLHSalVentAttnAParMed4	17Networks_LH_SalVentAttnA_ParMed_4	193	53	244	255
146	17NetworksLHSalVentAttnAParMed5	17Networks_LH_SalVentAttnA_ParMed_5	193	53	245	255
147	17NetworksLHSalVentAttnAParMed6	17Networks_LH_SalVentAttnA_ParMed_6	193	53	246	255
148	17NetworksLHSalVentAttnAFrMed1	17Networks_LH_SalVentAttnA_FrMed_1	197	58	249	255
149	17NetworksLHSalVentAttnAFrMed2	17Networks_LH_SalVentAttnA_FrMed_2	197	58	251	255
