0	???	Unknown	0	0	0	0
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	18	136	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	18	137	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	18	138	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	18	139	255
5	17NetworksLHVisPeriExStrInf1	17Networks_LH_VisPeri_ExStrInf_1	255	0	2	255
6	17NetworksLHVisPeriExStrInf2	17Networks_LH_VisPeri_ExStrInf_2	255	0	3	255
7	17NetworksLHVisPeriExStrInf3	17Networks_LH_VisPeri_ExStrInf_3	255	0	4	255
8	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	130	181	255
9	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	130	182	255
10	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	204	165	255
11	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	204	166	255
12	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	204	167	255
13	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	204	168	255
14	17NetworksLHDorsAttnASPL1	17Networks_LH_DorsAttnA_SPL_1	74	156	61	255
15	17NetworksLHDorsAttnASPL2	17Networks_LH_DorsAttnA_SPL_2	74	156	62	255
16	17NetworksLHDorsAttnASPL3	17Networks_LH_DorsAttnA_SPL_3	74	156	63	255
17	17NetworksLHDorsAttnBPostC1	17Networks_LH_DorsAttnB_PostC_1	0	118	16	255
18	17NetworksLHDorsAttnBPostC2	17Networks_LH_DorsAttnB_PostC_2	0	118	17	255
19	17NetworksLHDorsAttnBPostC3	17Networks_LH_DorsAttnB_PostC_3	0	118	18	255
20	17NetworksLHDorsAttnBFEF1	17Networks_LH_DorsAttnB_FEF_1	0	119	15	255
