0	???	Unknown	0	0	0	0
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	18	131	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	18	132	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	18	133	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	18	134	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	18	136	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	18	137	255
7	17NetworksLHVisCentExStr7	17Networks_LH_VisCent_ExStr_7	120	18	138	255
8	17NetworksLHVisCentExStr8	17Networks_LH_VisCent_ExStr_8	120	18	139	255
9	17NetworksLHVisCentExStr9	17Networks_LH_VisCent_ExStr_9	120	18	140	255
10	17NetworksLHVisCentExStr10	17Networks_LH_VisCent_ExStr_10	120	18	141	255
11	17NetworksLHVisCentExStr11	17Networks_LH_VisCent_ExStr_11	120	18	142	255
12	17NetworksLHVisCentExStr12	17Networks_LH_VisCent_ExStr_12	120	19	135	255
13	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	1	1	255
14	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	2	255
15	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	3	255
16	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	4	255
17	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	5	255
18	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	6	255
19	17NetworksLHVisPeriExStrSup7	17Networks_LH_VisPeri_ExStrSup_7	255	1	7	255
20	17NetworksLHVisPeriExStrSup8	17Networks_LH_VisPeri_ExStrSup_8	255	2	0	255
21	17NetworksLHVisPeriExStrSup9	17Networks_LH_VisPeri_ExStrSup_9	255	2	1	255
22	17NetworksLHVisPeriExStrSup10	17Networks_LH_VisPeri_ExStrSup_10	255	2	2	255
23	17NetworksLHVisPeriExStrSup11	17Networks_LH_VisPeri_ExStrSup_11	255	2	3	255
24	17NetworksLHVisPeriExStrSup12	17Networks_LH_VisPeri_ExStrSup_12	255	2	4	255
25	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	129	180	255
26	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	130	173	255
27	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	130	174	255
28	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	130	175	255
29	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	130	176	255
30	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	130	177	255
31	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	130	178	255
32	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	130	179	255
33	17NetworksLHSomMotA9	17Networks_LH_SomMotA_9	70	130	181	255
34	17NetworksLHSomMotA10	17Networks_LH_SomMotA_10	70	130	182	255
35	17NetworksLHSomMotA11	17Networks_LH_SomMotA_11	70	130	183	255
36	17NetworksLHSomMotA12	17Networks_LH_SomMotA_12	70	130	184	255
37	17NetworksLHSomMotA13	17Networks_LH_SomMotA_13	70	130	185	255
38	17NetworksLHSomMotA14	17Networks_LH_SomMotA_14	70	130	186	255
39	17NetworksLHSomMotA15	17Networks_LH_SomMotA_15	70	130	187	255
40	17NetworksLHSomMotA16	17Networks_LH_SomMotA_16	70	131	180	255
41	17NetworksLHSomMotA17	17Networks_LH_SomMotA_17	70	131	181	255
42	17NetworksLHSomMotA18	17Networks_LH_SomMotA_18	70	131	182	255
43	17NetworksLHSomMotA19	17Networks_LH_SomMotA_19	70	131	183	255
44	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	204	158	255
45	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	204	159	255
46	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	204	160	255
47	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	204	161	255
48	17NetworksLHSomMotBAud5	17Networks_LH_SomMotB_Aud_5	43	204	162	255
49	17NetworksLHSomMotBAud6	17Networks_LH_SomMotB_Aud_6	43	204	163	255
50	17NetworksLHSomMotBAud7	17Networks_LH_SomMotB_Aud_7	43	204	165	255
51	17NetworksLHSomMotBAud8	17Networks_LH_SomMotB_Aud_8	43	204	166	255
52	17NetworksLHSomMotBAud9	17Networks_LH_SomMotB_Aud_9	43	204	167	255
53	17NetworksLHSomMotBAud10	17Networks_LH_SomMotB_Aud_10	43	204	168	255
54	17NetworksLHSomMotBAud11	17Networks_LH_SomMotB_Aud_11	43	204	169	255
55	17NetworksLHSomMotBAud12	17Networks_LH_SomMotB_Aud_12	43	204	170	255
56	17NetworksLHSomMotBAud13	17Networks_LH_SomMotB_Aud_13	43	204	171	255
57	17NetworksLHSomMotBAud14	17Networks_LH_SomMotB_Aud_14	43	205	164	255
58	17NetworksLHSomMotBAud15	17Networks_LH_SomMotB_Aud_15	43	205	165	255
59	17NetworksLHSomMotBAud16	17Networks_LH_SomMotB_Aud_16	43	205	166	255
60	17NetworksLHDorsAttnATempOcc1	17Networks_LH_DorsAttnA_TempOcc_1	74	155	61	255
61	17NetworksLHDorsAttnATempOcc2	17Networks_LH_DorsAttnA_TempOcc_2	74	155	62	255
62	17NetworksLHDorsAttnATempOcc3	17Networks_LH_DorsAttnA_TempOcc_3	74	155	63	255
63	17NetworksLHDorsAttnATempOcc4	17Networks_LH_DorsAttnA_TempOcc_4	74	155	64	255
64	17NetworksLHDorsAttnAParOcc1	17Networks_LH_DorsAttnA_ParOcc_1	74	155	65	255
65	17NetworksLHDorsAttnASPL1	17Networks_LH_DorsAttnA_SPL_1	74	156	58	255
66	17NetworksLHDorsAttnASPL2	17Networks_LH_DorsAttnA_SPL_2	74	156	59	255
67	17NetworksLHDorsAttnASPL3	17Networks_LH_DorsAttnA_SPL_3	74	156	61	255
68	17NetworksLHDorsAttnASPL4	17Networks_LH_DorsAttnA_SPL_4	74	156	62	255
69	17NetworksLHDorsAttnASPL5	17Networks_LH_DorsAttnA_SPL_5	74	156	63	255
70	17NetworksLHDorsAttnASPL6	17Networks_LH_DorsAttnA_SPL_6	74	156	64	255
71	17NetworksLHDorsAttnASPL7	17Networks_LH_DorsAttnA_SPL_7	74	156	65	255
72	17NetworksLHDorsAttnASPL8	17Networks_LH_DorsAttnA_SPL_8	74	156	66	255
73	17NetworksLHDorsAttnBPostC1	17Networks_LH_DorsAttnB_PostC_1	0	118	12	255
74	17NetworksLHDorsAttnBPostC2	17Networks_LH_DorsAttnB_PostC_2	0	118	13	255
75	17NetworksLHDorsAttnBPostC3	17Networks_LH_DorsAttnB_PostC_3	0	118	14	255
76	17NetworksLHDorsAttnBPostC4	17Networks_LH_DorsAttnB_PostC_4	0	118	16	255
77	17NetworksLHDorsAttnBPostC5	17Networks_LH_DorsAttnB_PostC_5	0	118	17	255
78	17NetworksLHDorsAttnBPostC6	17Networks_LH_DorsAttnB_PostC_6	0	118	18	255
79	17NetworksLHDorsAttnBPostC7	17Networks_LH_DorsAttnB_PostC_7	0	118	19	255
80	17NetworksLHDorsAttnBPostC8	17Networks_LH_DorsAttnB_PostC_8	0	118	20	255
