0	???	Unknown	0	0	0	0
67	17NetworksLHContBTemp1	17Networks_LH_ContB_Temp_1	135	50	75	255
68	17NetworksLHContBIPL1	17Networks_LH_ContB_IPL_1	135	50	76	255
69	17NetworksLHContBPFCl1	17Networks_LH_ContB_PFCl_1	135	51	76	255
70	17NetworksLHContBPFClv1	17Networks_LH_ContB_PFClv_1	136	50	75	255
71	17NetworksLHContBPFClv2	17Networks_LH_ContB_PFClv_2	136	50	76	255
72	17NetworksLHContCpCun1	17Networks_LH_ContC_pCun_1	119	140	177	255
73	17NetworksLHContCpCun2	17Networks_LH_ContC_pCun_2	119	140	178	255
74	17NetworksLHContCCingp1	17Networks_LH_ContC_Cingp_1	119	140	179	255
75	17NetworksLHDefaultAIPL1	17Networks_LH_DefaultA_IPL_1	255	255	1	255
76	17NetworksLHDefaultAPFCd1	17Networks_LH_DefaultA_PFCd_1	255	255	2	255
77	17NetworksLHDefaultAPCC1	17Networks_LH_DefaultA_PCC_1	255	254	1	255
78	17NetworksLHDefaultAPCC2	17Networks_LH_DefaultA_PCC_2	255	254	2	255
79	17NetworksLHDefaultAPCC3	17Networks_LH_DefaultA_PCC_3	255	254	3	255
80	17NetworksLHDefaultAPFCm1	17Networks_LH_DefaultA_PFCm_1	254	255	1	255
81	17NetworksLHDefaultAPFCm2	17Networks_LH_DefaultA_PFCm_2	254	255	2	255
82	17NetworksLHDefaultAPFCm3	17Networks_LH_DefaultA_PFCm_3	254	255	3	255
83	17NetworksLHDefaultBTemp1	17Networks_LH_DefaultB_Temp_1	205	62	79	255
84	17NetworksLHDefaultBTemp2	17Networks_LH_DefaultB_Temp_2	205	62	80	255
85	17NetworksLHDefaultBTemp3	17Networks_LH_DefaultB_Temp_3	205	62	81	255
86	17NetworksLHDefaultBTemp4	17Networks_LH_DefaultB_Temp_4	205	62	82	255
87	17NetworksLHDefaultBIPL1	17Networks_LH_DefaultB_IPL_1	205	62	83	255
88	17NetworksLHDefaultBPFCd1	17Networks_LH_DefaultB_PFCd_1	205	63	79	255
89	17NetworksLHDefaultBPFCd2	17Networks_LH_DefaultB_PFCd_2	205	63	80	255
90	17NetworksLHDefaultBPFCd3	17Networks_LH_DefaultB_PFCd_3	205	63	81	255
91	17NetworksLHDefaultBPFCd4	17Networks_LH_DefaultB_PFCd_4	205	63	82	255
92	17NetworksLHDefaultBPFCv1	17Networks_LH_DefaultB_PFCv_1	206	62	79	255
93	17NetworksLHDefaultBPFCv2	17Networks_LH_DefaultB_PFCv_2	206	62	80	255
94	17NetworksLHDefaultBPFCv3	17Networks_LH_DefaultB_PFCv_3	206	62	81	255
95	17NetworksLHDefaultBPFCv4	17Networks_LH_DefaultB_PFCv_4	206	62	82	255
96	17NetworksLHDefaultCIPL1	17Networks_LH_DefaultC_IPL_1	0	0	131	255
97	17NetworksLHDefaultCRsp1	17Networks_LH_DefaultC_Rsp_1	0	0	132	255
98	17NetworksLHDefaultCPHC1	17Networks_LH_DefaultC_PHC_1	0	1	131	255
99	17NetworksLHTempPar1	17Networks_LH_TempPar_1	9	41	250	255
100	17NetworksLHTempPar2	17Networks_LH_TempPar_2	9	41	251	255
