index	???	Unknow	r	g	b	a
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	18	129	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	18	130	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	18	131	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	18	132	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	18	133	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	18	134	255
7	17NetworksLHVisCentExStr7	17Networks_LH_VisCent_ExStr_7	120	18	136	255
8	17NetworksLHVisCentExStr8	17Networks_LH_VisCent_ExStr_8	120	18	137	255
9	17NetworksLHVisCentExStr9	17Networks_LH_VisCent_ExStr_9	120	18	138	255
10	17NetworksLHVisCentExStr10	17Networks_LH_VisCent_ExStr_10	120	18	139	255
11	17NetworksLHVisCentExStr11	17Networks_LH_VisCent_ExStr_11	120	18	140	255
12	17NetworksLHVisCentExStr12	17Networks_LH_VisCent_ExStr_12	120	18	141	255
13	17NetworksLHVisCentExStr13	17Networks_LH_VisCent_ExStr_13	120	18	142	255
14	17NetworksLHVisCentExStr14	17Networks_LH_VisCent_ExStr_14	120	19	135	255
15	17NetworksLHVisCentExStr15	17Networks_LH_VisCent_ExStr_15	120	19	136	255
16	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	1	1	255
17	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	2	255
18	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	3	255
19	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	4	255
20	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	5	255
21	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	6	255
22	17NetworksLHVisPeriExStrSup7	17Networks_LH_VisPeri_ExStrSup_7	255	1	7	255
23	17NetworksLHVisPeriExStrSup8	17Networks_LH_VisPeri_ExStrSup_8	255	2	0	255
24	17NetworksLHVisPeriExStrSup9	17Networks_LH_VisPeri_ExStrSup_9	255	2	1	255
25	17NetworksLHVisPeriExStrSup10	17Networks_LH_VisPeri_ExStrSup_10	255	2	2	255
26	17NetworksLHVisPeriExStrSup11	17Networks_LH_VisPeri_ExStrSup_11	255	2	3	255
27	17NetworksLHVisPeriExStrSup12	17Networks_LH_VisPeri_ExStrSup_12	255	2	4	255
28	17NetworksLHVisPeriExStrSup13	17Networks_LH_VisPeri_ExStrSup_13	255	2	5	255
29	17NetworksLHVisPeriExStrSup14	17Networks_LH_VisPeri_ExStrSup_14	255	2	6	255
30	17NetworksLHVisPeriExStrSup15	17Networks_LH_VisPeri_ExStrSup_15	255	2	7	255
31	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	129	178	255
32	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	129	179	255
33	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	129	180	255
34	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	130	173	255
35	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	130	174	255
36	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	130	175	255
37	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	130	176	255
38	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	130	177	255
39	17NetworksLHSomMotA9	17Networks_LH_SomMotA_9	70	130	178	255
40	17NetworksLHSomMotA10	17Networks_LH_SomMotA_10	70	130	179	255
41	17NetworksLHSomMotA11	17Networks_LH_SomMotA_11	70	130	181	255
42	17NetworksLHSomMotA12	17Networks_LH_SomMotA_12	70	130	182	255
43	17NetworksLHSomMotA13	17Networks_LH_SomMotA_13	70	130	183	255
44	17NetworksLHSomMotA14	17Networks_LH_SomMotA_14	70	130	184	255
45	17NetworksLHSomMotA15	17Networks_LH_SomMotA_15	70	130	185	255
46	17NetworksLHSomMotA16	17Networks_LH_SomMotA_16	70	130	186	255
47	17NetworksLHSomMotA17	17Networks_LH_SomMotA_17	70	130	187	255
48	17NetworksLHSomMotA18	17Networks_LH_SomMotA_18	70	131	180	255
49	17NetworksLHSomMotA19	17Networks_LH_SomMotA_19	70	131	181	255
50	17NetworksLHSomMotA20	17Networks_LH_SomMotA_20	70	131	182	255
51	17NetworksLHSomMotA21	17Networks_LH_SomMotA_21	70	131	183	255
52	17NetworksLHSomMotA22	17Networks_LH_SomMotA_22	70	131	184	255
53	17NetworksLHSomMotA23	17Networks_LH_SomMotA_23	70	131	185	255
54	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	203	163	255
55	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	203	164	255
56	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	204	157	255
57	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	204	158	255
