index	???	Unknow	r	g	b	a
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	17	132	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	17	133	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	17	134	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	17	135	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	18	128	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	18	129	255
7	17NetworksLHVisCentExStr7	17Networks_LH_VisCent_ExStr_7	120	18	130	255
8	17NetworksLHVisCentExStr8	17Networks_LH_VisCent_ExStr_8	120	18	131	255
9	17NetworksLHVisCentExStr9	17Networks_LH_VisCent_ExStr_9	120	18	132	255
10	17NetworksLHVisCentExStr10	17Networks_LH_VisCent_ExStr_10	120	18	133	255
11	17NetworksLHVisCentExStr11	17Networks_LH_VisCent_ExStr_11	120	18	134	255
12	17NetworksLHVisCentExStr12	17Networks_LH_VisCent_ExStr_12	120	18	136	255
13	17NetworksLHVisCentExStr13	17Networks_LH_VisCent_ExStr_13	120	18	137	255
14	17NetworksLHVisCentExStr14	17Networks_LH_VisCent_ExStr_14	120	18	138	255
15	17NetworksLHVisCentExStr15	17Networks_LH_VisCent_ExStr_15	120	18	139	255
16	17NetworksLHVisCentExStr16	17Networks_LH_VisCent_ExStr_16	120	18	140	255
17	17NetworksLHVisCentExStr17	17Networks_LH_VisCent_ExStr_17	120	18	141	255
18	17NetworksLHVisCentExStr18	17Networks_LH_VisCent_ExStr_18	120	18	142	255
19	17NetworksLHVisCentExStr19	17Networks_LH_VisCent_ExStr_19	120	19	135	255
20	17NetworksLHVisCentExStr20	17Networks_LH_VisCent_ExStr_20	120	19	136	255
21	17NetworksLHVisCentExStr21	17Networks_LH_VisCent_ExStr_21	120	19	137	255
22	17NetworksLHVisCentExStr22	17Networks_LH_VisCent_ExStr_22	120	19	138	255
23	17NetworksLHVisCentExStr23	17Networks_LH_VisCent_ExStr_23	120	19	139	255
24	17NetworksLHVisCentExStr24	17Networks_LH_VisCent_ExStr_24	120	19	140	255
25	17NetworksLHVisCentExStr25	17Networks_LH_VisCent_ExStr_25	120	19	141	255
26	17NetworksLHVisCentExStr26	17Networks_LH_VisCent_ExStr_26	120	19	142	255
27	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	0	0	255
28	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	1	255
29	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	2	255
30	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	3	255
31	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	4	255
32	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	5	255
33	17NetworksLHVisPeriExStrSup7	17Networks_LH_VisPeri_ExStrSup_7	255	1	6	255
34	17NetworksLHVisPeriExStrSup8	17Networks_LH_VisPeri_ExStrSup_8	255	1	7	255
35	17NetworksLHVisPeriExStrSup9	17Networks_LH_VisPeri_ExStrSup_9	255	2	0	255
36	17NetworksLHVisPeriExStrSup10	17Networks_LH_VisPeri_ExStrSup_10	255	2	1	255
37	17NetworksLHVisPeriExStrSup11	17Networks_LH_VisPeri_ExStrSup_11	255	2	2	255
38	17NetworksLHVisPeriExStrSup12	17Networks_LH_VisPeri_ExStrSup_12	255	2	3	255
39	17NetworksLHVisPeriExStrSup13	17Networks_LH_VisPeri_ExStrSup_13	255	2	4	255
40	17NetworksLHVisPeriExStrSup14	17Networks_LH_VisPeri_ExStrSup_14	255	2	5	255
41	17NetworksLHVisPeriExStrSup15	17Networks_LH_VisPeri_ExStrSup_15	255	2	6	255
42	17NetworksLHVisPeriExStrSup16	17Networks_LH_VisPeri_ExStrSup_16	255	2	7	255
43	17NetworksLHVisPeriExStrSup17	17Networks_LH_VisPeri_ExStrSup_17	255	3	0	255
44	17NetworksLHVisPeriExStrSup18	17Networks_LH_VisPeri_ExStrSup_18	255	3	1	255
45	17NetworksLHVisPeriExStrSup19	17Networks_LH_VisPeri_ExStrSup_19	255	3	2	255
46	17NetworksLHVisPeriExStrSup20	17Networks_LH_VisPeri_ExStrSup_20	255	3	3	255
47	17NetworksLHVisPeriExStrSup21	17Networks_LH_VisPeri_ExStrSup_21	255	3	4	255
48	17NetworksLHVisPeriExStrSup22	17Networks_LH_VisPeri_ExStrSup_22	255	3	5	255
49	17NetworksLHVisPeriExStrSup23	17Networks_LH_VisPeri_ExStrSup_23	255	3	6	255
50	17NetworksLHVisPeriExStrSup24	17Networks_LH_VisPeri_ExStrSup_24	255	3	7	255
51	17NetworksLHVisPeriExStrSup25	17Networks_LH_VisPeri_ExStrSup_25	255	4	0	255
52	17NetworksLHVisPeriExStrSup26	17Networks_LH_VisPeri_ExStrSup_26	255	4	1	255
53	17NetworksLHVisPeriExStrSup27	17Networks_LH_VisPeri_ExStrSup_27	255	4	2	255
54	17NetworksLHVisPeriExStrSup28	17Networks_LH_VisPeri_ExStrSup_28	255	4	3	255
55	17NetworksLHVisPeriExStrSup29	17Networks_LH_VisPeri_ExStrSup_29	255	4	4	255
56	17NetworksLHVisPeriExStrSup30	17Networks_LH_VisPeri_ExStrSup_30	255	4	5	255
57	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	128	176	255
58	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	128	177	255
59	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	128	178	255
60	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	128	179	255
61	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	128	180	255
62	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	129	173	255
63	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	129	174	255
64	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	129	175	255
65	17NetworksLHSomMotA9	17Networks_LH_SomMotA_9	70	129	176	255
66	17NetworksLHSomMotA10	17Networks_LH_SomMotA_10	70	129	177	255
67	17NetworksLHSomMotA11	17Networks_LH_SomMotA_11	70	129	178	255
68	17NetworksLHSomMotA12	17Networks_LH_SomMotA_12	70	129	179	255
69	17NetworksLHSomMotA13	17Networks_LH_SomMotA_13	70	129	180	255
70	17NetworksLHSomMotA14	17Networks_LH_SomMotA_14	70	130	173	255
71	17NetworksLHSomMotA15	17Networks_LH_SomMotA_15	70	130	174	255
72	17NetworksLHSomMotA16	17Networks_LH_SomMotA_16	70	130	175	255
73	17NetworksLHSomMotA17	17Networks_LH_SomMotA_17	70	130	176	255
74	17NetworksLHSomMotA18	17Networks_LH_SomMotA_18	70	130	177	255
75	17NetworksLHSomMotA19	17Networks_LH_SomMotA_19	70	130	178	255
76	17NetworksLHSomMotA20	17Networks_LH_SomMotA_20	70	130	179	255
77	17NetworksLHSomMotA21	17Networks_LH_SomMotA_21	70	130	181	255
78	17NetworksLHSomMotA22	17Networks_LH_SomMotA_22	70	130	182	255
79	17NetworksLHSomMotA23	17Networks_LH_SomMotA_23	70	130	183	255
80	17NetworksLHSomMotA24	17Networks_LH_SomMotA_24	70	130	184	255
81	17NetworksLHSomMotA25	17Networks_LH_SomMotA_25	70	130	185	255
82	17NetworksLHSomMotA26	17Networks_LH_SomMotA_26	70	130	186	255
83	17NetworksLHSomMotA27	17Networks_LH_SomMotA_27	70	130	187	255
84	17NetworksLHSomMotA28	17Networks_LH_SomMotA_28	70	131	180	255
85	17NetworksLHSomMotA29	17Networks_LH_SomMotA_29	70	131	181	255
86	17NetworksLHSomMotA30	17Networks_LH_SomMotA_30	70	131	182	255
87	17NetworksLHSomMotA31	17Networks_LH_SomMotA_31	70	131	183	255
88	17NetworksLHSomMotA32	17Networks_LH_SomMotA_32	70	131	184	255
89	17NetworksLHSomMotA33	17Networks_LH_SomMotA_33	70	131	185	255
90	17NetworksLHSomMotA34	17Networks_LH_SomMotA_34	70	131	186	255
91	17NetworksLHSomMotA35	17Networks_LH_SomMotA_35	70	131	187	255
92	17NetworksLHSomMotA36	17Networks_LH_SomMotA_36	70	132	180	255
93	17NetworksLHSomMotA37	17Networks_LH_SomMotA_37	70	132	181	255
94	17NetworksLHSomMotA38	17Networks_LH_SomMotA_38	70	132	182	255
95	17NetworksLHSomMotA39	17Networks_LH_SomMotA_39	70	132	183	255
96	17NetworksLHSomMotA40	17Networks_LH_SomMotA_40	70	132	184	255
97	17NetworksLHSomMotA41	17Networks_LH_SomMotA_41	70	132	185	255
98	17NetworksLHSomMotA42	17Networks_LH_SomMotA_42	70	132	186	255
99	17NetworksLHSomMotA43	17Networks_LH_SomMotA_43	70	132	187	255
100	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	203	159	255
101	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	203	160	255
102	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	203	161	255
103	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	203	162	255
104	17NetworksLHSomMotBAud5	17Networks_LH_SomMotB_Aud_5	43	203	163	255
105	17NetworksLHSomMotBAud6	17Networks_LH_SomMotB_Aud_6	43	203	164	255
106	17NetworksLHSomMotBAud7	17Networks_LH_SomMotB_Aud_7	43	204	157	255
107	17NetworksLHSomMotBAud8	17Networks_LH_SomMotB_Aud_8	43	204	158	255
108	17NetworksLHSomMotBAud9	17Networks_LH_SomMotB_Aud_9	43	204	159	255
109	17NetworksLHSomMotBAud10	17Networks_LH_SomMotB_Aud_10	43	204	160	255
110	17NetworksLHSomMotBAud11	17Networks_LH_SomMotB_Aud_11	43	204	161	255
111	17NetworksLHSomMotBAud12	17Networks_LH_SomMotB_Aud_12	43	204	162	255
112	17NetworksLHSomMotBAud13	17Networks_LH_SomMotB_Aud_13	43	204	163	255
113	17NetworksLHSomMotBAud14	17Networks_LH_SomMotB_Aud_14	43	204	165	255
114	17NetworksLHSomMotBAud15	17Networks_LH_SomMotB_Aud_15	43	204	166	255
115	17NetworksLHSomMotBAud16	17Networks_LH_SomMotB_Aud_16	43	204	167	255
116	17NetworksLHSomMotBAud17	17Networks_LH_SomMotB_Aud_17	43	204	168	255
117	17NetworksLHSomMotBAud18	17Networks_LH_SomMotB_Aud_18	43	204	169	255
118	17NetworksLHSomMotBAud19	17Networks_LH_SomMotB_Aud_19	43	204	170	255
119	17NetworksLHSomMotBAud20	17Networks_LH_SomMotB_Aud_20	43	204	171	255
120	17NetworksLHSomMotBAud21	17Networks_LH_SomMotB_Aud_21	43	205	164	255
121	17NetworksLHSomMotBAud22	17Networks_LH_SomMotB_Aud_22	43	205	165	255
122	17NetworksLHSomMotBAud23	17Networks_LH_SomMotB_Aud_23	43	205	166	255
123	17NetworksLHSomMotBAud24	17Networks_LH_SomMotB_Aud_24	43	205	167	255
124	17NetworksLHSomMotBAud25	17Networks_LH_SomMotB_Aud_25	43	205	168	255
125	17NetworksLHSomMotBAud26	17Networks_LH_SomMotB_Aud_26	43	205	169	255
126	17NetworksLHSomMotBAud27	17Networks_LH_SomMotB_Aud_27	43	205	170	255
127	17NetworksLHSomMotBAud28	17Networks_LH_SomMotB_Aud_28	43	205	171	255
128	17NetworksLHSomMotBAud29	17Networks_LH_SomMotB_Aud_29	43	206	164	255
129	17NetworksLHDorsAttnATempOcc1	17Networks_LH_DorsAttnA_TempOcc_1	74	155	57	255
130	17NetworksLHDorsAttnATempOcc2	17Networks_LH_DorsAttnA_TempOcc_2	74	155	58	255
131	17NetworksLHDorsAttnATempOcc3	17Networks_LH_DorsAttnA_TempOcc_3	74	155	59	255
132	17NetworksLHDorsAttnATempOcc4	17Networks_LH_DorsAttnA_TempOcc_4	74	155	61	255
133	17NetworksLHDorsAttnATempOcc5	17Networks_LH_DorsAttnA_TempOcc_5	74	155	62	255
134	17NetworksLHDorsAttnATempOcc6	17Networks_LH_DorsAttnA_TempOcc_6	74	155	63	255
135	17NetworksLHDorsAttnATempOcc7	17Networks_LH_DorsAttnA_TempOcc_7	74	155	64	255
136	17NetworksLHDorsAttnATempOcc8	17Networks_LH_DorsAttnA_TempOcc_8	74	155	65	255
137	17NetworksLHDorsAttnATempOcc9	17Networks_LH_DorsAttnA_TempOcc_9	74	155	66	255
138	17NetworksLHDorsAttnASPL1	17Networks_LH_DorsAttnA_SPL_1	74	156	55	255
139	17NetworksLHDorsAttnASPL2	17Networks_LH_DorsAttnA_SPL_2	74	156	56	255
140	17NetworksLHDorsAttnASPL3	17Networks_LH_DorsAttnA_SPL_3	74	156	57	255
141	17NetworksLHDorsAttnASPL4	17Networks_LH_DorsAttnA_SPL_4	74	156	58	255
142	17NetworksLHDorsAttnASPL5	17Networks_LH_DorsAttnA_SPL_5	74	156	59	255
143	17NetworksLHDorsAttnASPL6	17Networks_LH_DorsAttnA_SPL_6	74	156	61	255
144	17NetworksLHDorsAttnASPL7	17Networks_LH_DorsAttnA_SPL_7	74	156	62	255
145	17NetworksLHDorsAttnASPL8	17Networks_LH_DorsAttnA_SPL_8	74	156	63	255
146	17NetworksLHDorsAttnASPL9	17Networks_LH_DorsAttnA_SPL_9	74	156	64	255
147	17NetworksLHDorsAttnASPL10	17Networks_LH_DorsAttnA_SPL_10	74	156	65	255
148	17NetworksLHDorsAttnASPL11	17Networks_LH_DorsAttnA_SPL_11	74	156	66	255
149	17NetworksLHDorsAttnASPL12	17Networks_LH_DorsAttnA_SPL_12	74	156	67	255
150	17NetworksLHDorsAttnASPL13	17Networks_LH_DorsAttnA_SPL_13	74	157	60	255
151	17NetworksLHDorsAttnASPL14	17Networks_LH_DorsAttnA_SPL_14	74	157	61	255
152	17NetworksLHDorsAttnBTempOcc1	17Networks_LH_DorsAttnB_TempOcc_1	0	118	15	255
153	17NetworksLHDorsAttnBPostC1	17Networks_LH_DorsAttnB_PostC_1	0	118	10	255
154	17NetworksLHDorsAttnBPostC2	17Networks_LH_DorsAttnB_PostC_2	0	118	11	255
155	17NetworksLHDorsAttnBPostC3	17Networks_LH_DorsAttnB_PostC_3	0	118	12	255
156	17NetworksLHDorsAttnBPostC4	17Networks_LH_DorsAttnB_PostC_4	0	118	13	255
157	17NetworksLHDorsAttnBPostC5	17Networks_LH_DorsAttnB_PostC_5	0	118	14	255
158	17NetworksLHDorsAttnBPostC6	17Networks_LH_DorsAttnB_PostC_6	0	118	16	255
159	17NetworksLHDorsAttnBPostC7	17Networks_LH_DorsAttnB_PostC_7	0	118	17	255
160	17NetworksLHDorsAttnBPostC8	17Networks_LH_DorsAttnB_PostC_8	0	118	18	255
161	17NetworksLHDorsAttnBPostC9	17Networks_LH_DorsAttnB_PostC_9	0	118	19	255
162	17NetworksLHDorsAttnBPostC10	17Networks_LH_DorsAttnB_PostC_10	0	118	20	255
163	17NetworksLHDorsAttnBPostC11	17Networks_LH_DorsAttnB_PostC_11	0	118	21	255
164	17NetworksLHDorsAttnBPostC12	17Networks_LH_DorsAttnB_PostC_12	0	118	22	255
165	17NetworksLHDorsAttnBPostC13	17Networks_LH_DorsAttnB_PostC_13	0	119	15	255
166	17NetworksLHDorsAttnBPostC14	17Networks_LH_DorsAttnB_PostC_14	0	119	16	255
167	17NetworksLHDorsAttnBFEF1	17Networks_LH_DorsAttnB_FEF_1	0	119	13	255
168	17NetworksLHDorsAttnBFEF2	17Networks_LH_DorsAttnB_FEF_2	0	119	17	255
169	17NetworksLHDorsAttnBFEF3	17Networks_LH_DorsAttnB_FEF_3	0	119	18	255
170	17NetworksLHDorsAttnBFEF4	17Networks_LH_DorsAttnB_FEF_4	0	119	19	255
171	17NetworksLHDorsAttnBFEF5	17Networks_LH_DorsAttnB_FEF_5	0	119	20	255
172	17NetworksLHDorsAttnBFEF6	17Networks_LH_DorsAttnB_FEF_6	0	119	21	255
173	17NetworksLHSalVentAttnAParOper1	17Networks_LH_SalVentAttnA_ParOper_1	196	58	249	255
174	17NetworksLHSalVentAttnAParOper2	17Networks_LH_SalVentAttnA_ParOper_2	196	58	251	255
175	17NetworksLHSalVentAttnAParOper3	17Networks_LH_SalVentAttnA_ParOper_3	196	58	252	255
176	17NetworksLHSalVentAttnAParOper4	17Networks_LH_SalVentAttnA_ParOper_4	196	58	253	255
177	17NetworksLHSalVentAttnAParOper5	17Networks_LH_SalVentAttnA_ParOper_5	196	58	254	255
178	17NetworksLHSalVentAttnAParOper6	17Networks_LH_SalVentAttnA_ParOper_6	196	58	255	255
179	17NetworksLHSalVentAttnAIns1	17Networks_LH_SalVentAttnA_Ins_1	196	59	247	255
180	17NetworksLHSalVentAttnAIns2	17Networks_LH_SalVentAttnA_Ins_2	196	59	248	255
181	17NetworksLHSalVentAttnAIns3	17Networks_LH_SalVentAttnA_Ins_3	196	59	249	255
182	17NetworksLHSalVentAttnAIns4	17Networks_LH_SalVentAttnA_Ins_4	196	59	251	255
183	17NetworksLHSalVentAttnAIns5	17Networks_LH_SalVentAttnA_Ins_5	196	59	252	255
184	17NetworksLHSalVentAttnAIns6	17Networks_LH_SalVentAttnA_Ins_6	196	59	253	255
185	17NetworksLHSalVentAttnAIns7	17Networks_LH_SalVentAttnA_Ins_7	196	59	254	255
186	17NetworksLHSalVentAttnAIns8	17Networks_LH_SalVentAttnA_Ins_8	196	59	255	255
187	17NetworksLHSalVentAttnAIns9	17Networks_LH_SalVentAttnA_Ins_9	193	52	250	255
188	17NetworksLHSalVentAttnAIns10	17Networks_LH_SalVentAttnA_Ins_10	193	53	243	255
189	17NetworksLHSalVentAttnAParMed1	17Networks_LH_SalVentAttnA_ParMed_1	196	59	250	255
190	17NetworksLHSalVentAttnAParMed2	17Networks_LH_SalVentAttnA_ParMed_2	193	52	249	255
191	17NetworksLHSalVentAttnAParMed3	17Networks_LH_SalVentAttnA_ParMed_3	193	52	251	255
192	17NetworksLHSalVentAttnAParMed4	17Networks_LH_SalVentAttnA_ParMed_4	193	53	244	255
193	17NetworksLHSalVentAttnAParMed5	17Networks_LH_SalVentAttnA_ParMed_5	193	53	245	255
194	17NetworksLHSalVentAttnAParMed6	17Networks_LH_SalVentAttnA_ParMed_6	193	53	246	255
195	17NetworksLHSalVentAttnAParMed7	17Networks_LH_SalVentAttnA_ParMed_7	193	53	247	255
196	17NetworksLHSalVentAttnAParMed8	17Networks_LH_SalVentAttnA_ParMed_8	193	53	248	255
197	17NetworksLHSalVentAttnAFrMed1	17Networks_LH_SalVentAttnA_FrMed_1	197	58	248	255
198	17NetworksLHSalVentAttnAFrMed2	17Networks_LH_SalVentAttnA_FrMed_2	197	58	249	255
199	17NetworksLHSalVentAttnAFrMed3	17Networks_LH_SalVentAttnA_FrMed_3	197	58	251	255
200	17NetworksLHSalVentAttnAFrMed4	17Networks_LH_SalVentAttnA_FrMed_4	197	58	252	255
201	17NetworksLHSalVentAttnAFrMed5	17Networks_LH_SalVentAttnA_FrMed_5	197	58	253	255
202	17NetworksLHSalVentAttnAFrMed6	17Networks_LH_SalVentAttnA_FrMed_6	197	58	254	255
203	17NetworksLHSalVentAttnAFrMed7	17Networks_LH_SalVentAttnA_FrMed_7	197	58	255	255
204	17NetworksLHSalVentAttnBIPL1	17Networks_LH_SalVentAttnB_IPL_1	255	152	214	255
205	17NetworksLHSalVentAttnBPFCd1	17Networks_LH_SalVentAttnB_PFCd_1	255	152	215	255
206	17NetworksLHSalVentAttnBPFCl1	17Networks_LH_SalVentAttnB_PFCl_1	255	153	212	255
207	17NetworksLHSalVentAttnBPFCl2	17Networks_LH_SalVentAttnB_PFCl_2	255	153	214	255
208	17NetworksLHSalVentAttnBPFCl3	17Networks_LH_SalVentAttnB_PFCl_3	255	153	215	255
209	17NetworksLHSalVentAttnBPFCl4	17Networks_LH_SalVentAttnB_PFCl_4	255	153	216	255
210	17NetworksLHSalVentAttnBPFCl5	17Networks_LH_SalVentAttnB_PFCl_5	255	153	217	255
211	17NetworksLHSalVentAttnBPFCl6	17Networks_LH_SalVentAttnB_PFCl_6	255	153	218	255
212	17NetworksLHSalVentAttnBPFCv1	17Networks_LH_SalVentAttnB_PFCv_1	255	153	213	255
213	17NetworksLHSalVentAttnBPFCv2	17Networks_LH_SalVentAttnB_PFCv_2	255	153	219	255
214	17NetworksLHSalVentAttnBPFCv3	17Networks_LH_SalVentAttnB_PFCv_3	255	153	220	255
215	17NetworksLHSalVentAttnBPFCv4	17Networks_LH_SalVentAttnB_PFCv_4	255	153	221	255
216	17NetworksLHSalVentAttnBPFCv5	17Networks_LH_SalVentAttnB_PFCv_5	255	154	214	255
217	17NetworksLHSalVentAttnBPFCmp1	17Networks_LH_SalVentAttnB_PFCmp_1	255	151	214	255
218	17NetworksLHSalVentAttnBPFCmp2	17Networks_LH_SalVentAttnB_PFCmp_2	255	151	215	255
219	17NetworksLHSalVentAttnBPFCmp3	17Networks_LH_SalVentAttnB_PFCmp_3	255	151	216	255
220	17NetworksLHSalVentAttnBPFCmp4	17Networks_LH_SalVentAttnB_PFCmp_4	255	151	217	255
221	17NetworksLHLimbicOFC1	17Networks_LH_Limbic_OFC_1	122	135	45	255
222	17NetworksLHLimbicOFC2	17Networks_LH_Limbic_OFC_2	122	135	46	255
223	17NetworksLHLimbicOFC3	17Networks_LH_Limbic_OFC_3	122	135	47	255
224	17NetworksLHLimbicOFC4	17Networks_LH_Limbic_OFC_4	122	135	48	255
225	17NetworksLHLimbicOFC5	17Networks_LH_Limbic_OFC_5	122	135	49	255
226	17NetworksLHLimbicOFC6	17Networks_LH_Limbic_OFC_6	122	135	51	255
227	17NetworksLHLimbicOFC7	17Networks_LH_Limbic_OFC_7	122	135	52	255
228	17NetworksLHLimbicOFC8	17Networks_LH_Limbic_OFC_8	122	135	53	255
229	17NetworksLHLimbicOFC9	17Networks_LH_Limbic_OFC_9	122	135	54	255
